,0
0,5656000000.0
1,5656100000.0
2,5656200000.0
3,5656300000.0
4,5656400000.0
5,5656500000.0
6,5656600000.0
7,5656700000.0
8,5656800000.0
9,5656900000.0
10,5657000000.0
11,5657100000.0
12,5657200000.0
13,5657300000.0
14,5657400000.0
15,5657500000.0
16,5657600000.0
17,5657700000.0
18,5657800000.0
19,5657900000.0
20,5658000000.0
21,5658100000.0
22,5658200000.0
23,5658300000.0
24,5658400000.0
25,5658500000.0
26,5658600000.0
27,5658700000.0
28,5658800000.0
29,5658900000.0
30,5659000000.0
31,5659100000.0
32,5659200000.0
33,5659300000.0
34,5659400000.0
35,5659500000.0
36,5659600000.0
37,5659700000.0
38,5659800000.0
39,5659900000.0
40,5660000000.0
41,5660100000.0
42,5660200000.0
43,5660300000.0
44,5660400000.0
45,5660500000.0
46,5660600000.0
47,5660700000.0
48,5660800000.0
49,5660900000.0
50,5661000000.0
51,5661100000.0
52,5661200000.0
53,5661300000.0
54,5661400000.0
55,5661500000.0
56,5661600000.0
57,5661700000.0
58,5661800000.0
59,5661900000.0
60,5662000000.0
61,5662100000.0
62,5662200000.0
63,5662300000.0
64,5662400000.0
65,5662500000.0
66,5662600000.0
67,5662700000.0
68,5662800000.0
69,5662900000.0
70,5663000000.0
71,5663100000.0
72,5663200000.0
73,5663300000.0
74,5663400000.0
75,5663500000.0
76,5663600000.0
77,5663700000.0
78,5663800000.0
79,5663900000.0
80,5664000000.0
81,5664100000.0
82,5664200000.0
83,5664300000.0
84,5664400000.0
85,5664500000.0
86,5664600000.0
87,5664700000.0
88,5664800000.0
89,5664900000.0
90,5665000000.0
91,5665100000.0
92,5665200000.0
93,5665300000.0
94,5665400000.0
95,5665500000.0
96,5665600000.0
97,5665700000.0
98,5665800000.0
99,5665900000.0
100,5666000000.0
101,5666100000.0
102,5666200000.0
103,5666300000.0
104,5666400000.0
105,5666500000.0
106,5666600000.0
107,5666700000.0
108,5666800000.0
109,5666900000.0
110,5667000000.0
111,5667100000.0
112,5667200000.0
113,5667300000.0
114,5667400000.0
115,5667500000.0
116,5667600000.0
117,5667700000.0
118,5667800000.0
119,5667900000.0
120,5668000000.0
