,0
0,(0.6123591065406799-0.3437877595424652j)
1,(0.6102259755134583-0.3440611958503723j)
2,(0.6113584041595459-0.34348979592323303j)
3,(0.6080289483070374-0.3428457975387573j)
4,(0.6076837778091431-0.3447493314743042j)
5,(0.612867534160614-0.3469390869140625j)
6,(0.6135095357894897-0.3454756736755371j)
7,(0.6089884042739868-0.34555280208587646j)
8,(0.6112682223320007-0.34445151686668396j)
9,(0.6080566644668579-0.3459019660949707j)
10,(0.6099857091903687-0.34469664096832275j)
11,(0.6114795804023743-0.3471129834651947j)
12,(0.6135464906692505-0.34621739387512207j)
13,(0.6106253862380981-0.34494099020957947j)
14,(0.6127658486366272-0.34496885538101196j)
15,(0.6080231070518494-0.3453565537929535j)
16,(0.6107627153396606-0.34643206000328064j)
17,(0.6110421419143677-0.34662744402885437j)
18,(0.6089486479759216-0.3471745550632477j)
19,(0.6128220558166504-0.34603071212768555j)
20,(0.610097348690033-0.3447846472263336j)
21,(0.6096134185791016-0.34720858931541443j)
22,(0.610535740852356-0.34736284613609314j)
23,(0.6099555492401123-0.3479178249835968j)
24,(0.6117108464241028-0.3491879105567932j)
25,(0.6129913330078125-0.3466891348361969j)
26,(0.6125308871269226-0.34622278809547424j)
27,(0.6124908328056335-0.34712880849838257j)
28,(0.6089646816253662-0.3448680341243744j)
29,(0.6089447736740112-0.34629350900650024j)
30,(0.6094362139701843-0.3455156087875366j)
31,(0.6097376346588135-0.3469545543193817j)
32,(0.6074170470237732-0.34560859203338623j)
33,(0.611970067024231-0.3478069305419922j)
34,(0.6095069646835327-0.34575706720352173j)
35,(0.6122893691062927-0.3433380126953125j)
36,(0.6121865510940552-0.3442579507827759j)
37,(0.6097806692123413-0.3419671058654785j)
38,(0.6097174286842346-0.34687283635139465j)
39,(0.6096935868263245-0.34844520688056946j)
40,(0.6112158298492432-0.3480924367904663j)
41,(0.6108982563018799-0.34653231501579285j)
42,(0.6122286915779114-0.34881851077079773j)
43,(0.6120792627334595-0.34386971592903137j)
44,(0.6130306124687195-0.34473639726638794j)
45,(0.6110479235649109-0.3453448414802551j)
46,(0.6135074496269226-0.3484863340854645j)
47,(0.6097116470336914-0.3440350592136383j)
48,(0.6105886101722717-0.3469618856906891j)
49,(0.6127820014953613-0.3471347391605377j)
50,(0.6125442385673523-0.3468354344367981j)
51,(0.6117340922355652-0.34526336193084717j)
52,(0.6123059391975403-0.34483084082603455j)
53,(0.6103070974349976-0.347168505191803j)
54,(0.6130141019821167-0.3474689722061157j)
55,(0.6089951992034912-0.3439978063106537j)
56,(0.6141179800033569-0.3455354571342468j)
57,(0.6129004955291748-0.34482231736183167j)
58,(0.613818883895874-0.34361502528190613j)
59,(0.6124963760375977-0.3479408323764801j)
60,(0.6113718748092651-0.3484553098678589j)
61,(0.6140479445457458-0.34569981694221497j)
62,(0.6114598512649536-0.3404991626739502j)
63,(0.6133955717086792-0.3477243483066559j)
64,(0.6127868890762329-0.3453536927700043j)
65,(0.6134099960327148-0.3472403585910797j)
66,(0.613941490650177-0.34665367007255554j)
67,(0.6129845976829529-0.34546688199043274j)
68,(0.611405074596405-0.3476027548313141j)
69,(0.6130334138870239-0.34544795751571655j)
70,(0.6139547228813171-0.34454163908958435j)
71,(0.6155067086219788-0.34938690066337585j)
72,(0.6143251657485962-0.3474764823913574j)
73,(0.6140258312225342-0.3456893861293793j)
74,(0.6156598329544067-0.34454676508903503j)
75,(0.6128015518188477-0.34935012459754944j)
76,(0.6114163398742676-0.3453890085220337j)
77,(0.6118512749671936-0.34225013852119446j)
78,(0.6136654019355774-0.34797123074531555j)
79,(0.6113333106040955-0.3473891317844391j)
80,(0.6151865124702454-0.34618017077445984j)
81,(0.612945020198822-0.3464184105396271j)
82,(0.6139129996299744-0.3435770869255066j)
83,(0.613862156867981-0.3479698598384857j)
84,(0.6146907210350037-0.34645354747772217j)
85,(0.6146718859672546-0.3453628420829773j)
86,(0.6137672066688538-0.3454047441482544j)
87,(0.6163021326065063-0.3473166525363922j)
88,(0.6171021461486816-0.3472202718257904j)
89,(0.6118621826171875-0.3458295166492462j)
90,(0.6148599982261658-0.34583455324172974j)
